budget,id,runtime,vote_average,vote_count
8,11980,98.0,6.4,139
0,58372,91.0,10.0,1
0,32646,119.0,7.2,62
50000000,10533,135.0,5.5,111
0,56088,93.0,5.3,2
45000000,10802,128.0,4.9,261
7000000,10149,112.0,7.2,115
0,18402,106.0,5.7,60
35000000,9348,108.0,5.5,457
0,139408,109.0,6.6,6
42000000,281,145.0,6.8,334
0,5967,91.0,7.6,119
14000000,79593,99.0,4.6,9
0,47939,115.0,6.1,18
0,36834,111.0,6.5,112
0,9090,105.0,6.3,117
60000000,3512,100.0,5.6,217
0,52856,93.0,6.4,9
0,77350,73.0,6.0,6
20000000,9560,103.0,6.5,168
175000000,9804,135.0,5.9,1017
8000000,31611,89.0,5.1,25
30000000,65796,98.0,5.9,27
0,49805,97.0,6.0,11
0,26258,90.0,4.9,29
2800000,50797,135.0,6.7,35
0,19155,113.0,7.7,45
2500000,76,105.0,7.7,984
10000000,11017,89.0,6.2,464
0,37141,90.0,4.7,27
21000000,9382,115.0,6.3,48
0,6715,97.0,7.2,58
0,18256,95.0,5.8,40
0,22625,103.0,6.5,30
27000,2292,92.0,7.4,769
25000000,1909,97.0,6.3,184
55000000,8984,123.0,5.9,217
0,61813,0.0,2.5,1
45000000,4954,101.0,5.1,91
0,62488,0.0,5.3,9
0,10531,103.0,7.1,92
0,11929,132.0,7.1,183
16000000,8467,107.0,6.5,1894
0,10451,123.0,7.5,76
0,20156,103.0,6.5,64
0,18395,113.0,4.3,28
18000000,522,127.0,7.3,639
0,397,111.0,6.2,179
0,10525,101.0,6.1,38
0,27985,87.0,5.6,27
0,15789,78.0,6.7,404
15000000,27303,103.0,5.0,24
0,21183,96.0,6.6,48
0,10954,111.0,5.9,20
0,47867,90.0,3.0,4
0,43475,77.0,5.0,2
0,72031,109.0,5.4,9
700000,14275,171.0,7.7,91
5000000,1024,99.0,6.9,299
10500000,17207,113.0,6.0,17
120,13701,121.0,6.9,90
0,14819,100.0,6.0,97
0,32631,106.0,6.0,25
25000000,11777,100.0,5.9,112
60000000,628,123.0,7.2,1558
14000000,87729,139.0,5.2,10
0,18713,82.0,4.8,10
60000000,6280,109.0,4.7,381
0,9061,102.0,6.0,124
0,37108,89.0,4.3,40
40000000,6071,101.0,5.7,83
11000000,11,121.0,8.1,6778
18000000,9587,115.0,7.0,222
17000000,19101,97.0,7.4,207
0,49980,101.0,7.4,14
10000000,17961,100.0,6.6,22
2000000,18183,105.0,6.6,70
30000000,4476,133.0,7.2,636
0,11008,95.0,6.1,164
0,47504,98.0,6.4,31
0,32325,92.0,5.7,9
60000000,43742,108.0,4.3,11
17000000,28313,106.0,6.4,28
0,11318,107.0,6.7,67
45000000,3036,123.0,6.1,272
0,40490,96.0,5.1,40
15000000,24070,97.0,5.2,37
0,8986,108.0,5.6,49
0,10510,114.0,6.4,199
6,17402,95.0,5.6,7
5500000,38722,128.0,7.0,11
0,8438,122.0,6.9,140
0,11593,110.0,7.0,56
31000000,1945,112.0,6.1,128
0,39310,98.0,6.9,7
0,109560,93.0,0.0,0
4800000,56428,89.0,4.0,4
0,63105,83.0,4.6,10
0,131957,100.0,7.4,4
34000000,241,119.0,6.9,927
0,9058,115.0,6.4,92
0,527,99.0,7.6,106
0,18220,106.0,4.6,32
50000000,6950,127.0,6.4,522
16000000,101,110.0,8.2,4293
11000000,63020,113.0,6.6,9
0,2307,94.0,7.0,2
8000000,680,154.0,8.3,8670
0,41478,124.0,6.4,6
400000,25296,105.0,6.1,9
0,40156,98.0,6.4,32
0,11450,133.0,7.1,262
0,30304,94.0,7.4,5
0,10452,162.0,7.0,67
32000000,12106,107.0,6.2,431
22000000,161495,108.0,6.4,7
15000000,3586,133.0,5.3,33
0,110,99.0,7.8,246
0,108,98.0,7.7,311
0,109,91.0,7.3,218
0,159185,111.0,7.0,2
0,36357,85.0,5.1,15
0,92769,90.0,4.7,3
0,28033,95.0,5.0,6
35000000,22586,89.0,6.5,251
0,14334,97.0,6.1,15
45000000,2636,110.0,5.5,317
55000000,2164,121.0,6.8,942
22000000,11395,97.0,6.3,501
25000000,278,142.0,8.5,8358
0,9905,92.0,7.0,247
0,87078,96.0,6.0,7
0,12527,108.0,7.1,16
0,20306,101.0,6.7,104
32,36614,100.0,6.0,21
0,27993,91.0,5.7,23
0,31439,125.0,7.7,62
25000000,9067,98.0,5.5,140
0,9059,92.0,6.7,96
38000000,193,118.0,6.4,461
6000000,25066,98.0,5.4,33
0,46797,115.0,5.8,8
0,12122,99.0,5.6,165
0,11381,97.0,6.8,321
0,32636,119.0,6.1,15
6500000,36141,99.0,5.6,15
0,95963,88.0,6.6,4
11000000,1587,118.0,7.5,943
30000000,9271,106.0,5.4,163
17000000,2064,103.0,6.5,340
0,19855,126.0,6.3,39
0,60855,87.0,5.5,2
3000000,236,106.0,6.9,104
0,48287,94.0,5.3,23
15000000,3049,86.0,6.4,1684
0,2759,104.0,7.2,174
0,12635,100.0,6.2,37
5000000,10497,139.0,7.0,115
0,11382,98.0,7.0,130
62000000,9331,141.0,6.4,390
45000000,10731,119.0,6.4,287
0,10464,115.0,6.4,83
0,34152,115.0,6.7,31
15000000,9495,102.0,7.3,980
0,29973,128.0,6.1,29
46000000,888,91.0,5.0,559
55000000,13,142.0,8.2,8147
6000000,712,117.0,6.6,654
0,16295,127.0,6.4,49
0,48992,104.0,6.3,4
45000000,10879,123.0,5.3,41
0,10660,101.0,6.1,154
0,10714,111.0,5.9,107
0,41647,180.0,7.3,5
45000000,8587,89.0,8.0,5520
35000000,1689,140.0,6.0,76
14000000,11596,112.0,6.4,297
23000000,854,101.0,6.6,2550
0,9359,127.0,6.6,490
0,23333,125.0,6.3,20
30000000,36593,83.0,6.4,535
6000000,12280,112.0,6.1,40
11500000,2788,99.0,6.5,180
8000000,10427,98.0,6.4,71
40000000,11011,95.0,5.4,426
0,49803,98.0,4.9,7
45000000,8987,111.0,6.1,214
30000000,1637,116.0,6.8,1814
0,15128,99.0,5.5,24
27000000,8831,99.0,5.5,288
115000000,36955,141.0,6.8,1138
0,10449,126.0,6.0,71
0,10395,125.0,6.0,221
63000000,12160,191.0,6.5,203
0,40480,108.0,4.9,12
0,52038,99.0,6.5,2
0,29444,96.0,6.1,22
10000000,26352,100.0,6.0,31
0,39953,91.0,2.0,1
0,41580,110.0,5.9,9
45000,315,83.0,6.5,59
7000000,22067,119.0,5.9,9
0,18242,61.0,7.1,8
35000000,11667,102.0,4.1,330
0,32502,92.0,6.7,13
0,267188,97.0,0.0,0
0,28732,88.0,6.3,6
0,75555,98.0,3.4,7
0,42981,89.0,7.5,4
0,278939,89.0,10.0,1
0,291731,97.0,0.0,0
0,226229,92.0,4.0,1
0,203119,97.0,0.0,0
0,172923,0.0,5.0,1
0,316098,115.0,4.0,1
26000000,8011,99.0,4.5,110
0,171857,97.0,5.0,2
8000000,2654,95.0,7.1,307
0,18069,105.0,7.2,22
0,19092,96.0,6.7,40
0,2758,94.0,6.5,537
0,38129,84.0,4.5,4
34000000,10436,139.0,7.0,172
0,13595,92.0,5.8,222
17080000,46094,107.0,5.1,42
0,9409,105.0,4.9,58
0,11853,99.0,4.6,61
3200000,16771,100.0,6.6,20
40000000,46924,122.0,5.0,15
0,11041,93.0,5.0,86
50000000,306,104.0,5.5,445
0,14522,88.0,6.6,68
0,26203,106.0,6.3,45
0,178,121.0,6.0,126
0,19819,108.0,5.7,41
0,57834,101.0,6.1,28
13000000,4722,87.0,5.8,102
0,18215,107.0,4.5,59
22000000,1607,121.0,7.4,447
0,26391,80.0,4.9,28
13000000,117553,90.0,3.7,10
30000000,6075,144.0,7.7,805
0,11310,116.0,4.9,103
0,18658,107.0,5.7,25
70000000,9350,112.0,6.1,600
0,9612,88.0,4.8,228
40000000,2124,121.0,5.4,117
0,26261,93.0,5.0,36
0,19176,102.0,5.1,38
0,49299,108.0,5.4,9
0,11566,110.0,6.3,205
6900000,9571,102.0,7.4,588
57000000,9739,115.0,6.4,1018
0,24257,109.0,7.1,12
8000000,34444,96.0,4.2,29
0,26141,91.0,5.4,37
0,10997,171.0,7.8,98
0,50463,97.0,3.3,6
0,10443,122.0,6.8,80
0,20239,88.0,5.8,11
0,16297,103.0,6.1,54
0,18551,126.0,6.2,22
0,25440,101.0,4.3,3
30000000,9024,94.0,5.7,77
42000000,37233,154.0,6.6,513
20000000,1634,112.0,6.0,429
0,13815,114.0,7.6,56
44000000,5503,130.0,7.2,1240
35000000,35588,115.0,5.9,44
0,2087,115.0,5.4,81
30000000,41579,109.0,4.5,43
0,18620,83.0,3.9,5
0,41006,94.0,5.2,11
0,4916,107.0,5.6,21
18000000,2019,97.0,6.1,237
33000000,31642,140.0,6.4,51
25000000,9255,86.0,6.2,463
0,26271,95.0,4.7,12
0,10612,99.0,6.1,83
25000000,2259,140.0,6.7,135
0,16097,100.0,4.6,11
30000000,11934,111.0,7.1,280
40000000,106143,115.0,5.7,18
0,12475,91.0,4.7,54
40000000,9386,128.0,6.8,392
13000000,7984,133.0,7.6,363
0,59930,110.0,3.9,5
0,15765,118.0,6.9,75
30000000,31643,112.0,4.6,17
0,6,110.0,6.4,79
63000000,329,127.0,7.6,4956
9000000,10909,117.0,6.5,209
1500000,507,96.0,6.1,111
0,34024,103.0,6.4,33
0,29918,94.0,6.1,54
85000000,9593,130.0,6.1,725
0,42580,91.0,5.1,24
0,22317,98.0,5.7,40
0,1413,101.0,6.6,35
22000000,12121,111.0,5.3,86
0,2246,107.0,5.9,105
0,10502,114.0,6.2,125
13500000,10440,104.0,7.1,169
3500000,9516,97.0,7.2,179
55000000,2320,133.0,5.8,261
0,5879,105.0,6.5,112
0,83718,91.0,7.0,7
8000000,11971,111.0,7.2,194
0,2625,114.0,5.9,35
0,31911,98.0,5.5,11
25000000,788,125.0,7.0,1638
0,21450,131.0,7.5,105
12000000,11231,107.0,4.8,202
0,41588,112.0,4.8,5
20000000,10447,118.0,6.1,86
40000000,31586,87.0,4.8,67
4000000,9300,93.0,6.7,53
30000000,9559,138.0,7.2,376
26000000,9800,125.0,7.6,1019
7000000,713,121.0,7.1,290
14000000,8291,109.0,6.9,47
0,18133,112.0,6.0,28
0,25557,109.0,5.6,41
0,22588,108.0,5.8,12
11000000,10872,97.0,6.7,99
11500000,1245,134.0,7.5,213
40000000,11858,128.0,5.9,83
0,7007,125.0,5.8,188
0,10467,118.0,5.5,43
22000000,5550,104.0,4.2,309
20000000,8005,104.0,6.4,575
11500000,2088,100.0,5.7,36
0,10412,94.0,6.6,126
800000,47889,114.0,5.6,10
12000000,14534,114.0,7.2,187
0,56583,99.0,4.0,5
0,41878,126.0,6.2,11
22000000,424,195.0,8.3,4436
0,35233,101.0,5.3,37
0,14291,110.0,7.3,100
0,103413,105.0,5.9,8
0,11236,102.0,7.1,232
13000000,11592,95.0,6.4,137
25000000,8850,108.0,5.4,140
22000000,10445,131.0,6.8,61
0,695,187.0,6.9,136
0,43535,106.0,5.7,26
0,12519,98.0,5.2,31
0,23210,112.0,6.5,75
21000000,858,105.0,6.5,630
40000000,867,108.0,4.9,144
28000000,78,117.0,7.9,3833
0,13203,95.0,5.6,81
20000000,10442,93.0,6.1,131
30,11074,102.0,5.4,223
0,33367,113.0,4.0,4
48000000,9607,104.0,4.0,236
7400000,17585,96.0,6.1,53
50000000,9057,102.0,5.0,82
0,20967,93.0,7.4,9
0,10635,93.0,6.3,57
18000000,9479,76.0,7.6,2135
30000000,10057,105.0,6.2,219
25000000,11969,130.0,7.4,632
0,41590,107.0,5.5,5
12500000,319,120.0,7.5,762
0,26408,96.0,7.3,19
27000000,15139,80.0,6.2,178
0,161158,112.0,6.0,2
0,218473,0.0,0.0,1
0,85247,97.0,3.0,2
0,11446,88.0,6.9,103
0,51980,160.0,6.3,43
0,24405,102.0,4.7,22
0,11655,94.0,6.4,153
0,11800,95.0,4.0,3
0,8223,117.0,6.8,58
0,14587,100.0,5.1,10
0,31504,119.0,6.0,20
0,41653,102.0,6.2,10
0,53185,102.0,0.0,0
0,95743,90.0,0.0,0
0,23637,100.0,7.2,74
200000,17600,106.0,5.3,29
0,10897,82.0,6.3,214
0,349394,82.0,0.0,0
0,21352,94.0,5.0,31
0,68806,92.0,5.0,5
0,37345,97.0,4.4,5
0,32562,102.0,7.0,24
0,47507,94.0,6.8,4
0,25403,100.0,6.9,46
0,124304,106.0,6.0,1
0,9066,84.0,5.9,87
18000000,771,103.0,7.1,2487
22000000,251,127.0,6.9,1381
28000000,812,90.0,7.4,3495
100000000,280,137.0,7.7,4274
22000000,581,181.0,7.6,1084
0,80350,92.0,6.3,4
35000000,268,126.0,7.0,2145
19000000,274,119.0,8.1,4549
1488423,408,83.0,6.9,1973
25000000,10020,84.0,7.5,3029
2600000,10895,88.0,6.9,1412
14000000,114,119.0,7.0,1807
0,41043,87.0,6.0,6
6244087,576,145.0,7.7,266
0,15477,101.0,5.5,15
0,59146,113.0,6.5,1
0,124472,60.0,7.0,2
0,30528,106.0,6.1,20
0,7300,108.0,6.1,160
0,10824,93.0,5.0,64
0,261246,112.0,5.0,1
7000000,275,98.0,7.7,2080
0,25059,89.0,6.0,105
9300000,11827,90.0,6.3,150
4000000,8766,86.0,4.9,111
8000000,23570,97.0,4.6,30
0,47333,112.0,7.1,51
500000,54850,91.0,4.0,3
0,51242,100.0,7.1,10
4000000,10112,78.0,7.1,1287
0,4307,107.0,6.9,43
0,46029,118.0,5.1,24
0,32308,94.0,3.6,24
0,88893,105.0,7.5,4
0,52873,127.0,6.4,4
0,123505,90.0,5.0,1
0,340210,83.0,4.7,3
0,44281,98.0,7.4,5
0,28121,108.0,5.7,15
0,12520,92.0,6.5,82
30000000,1592,129.0,7.4,644
0,166901,89.0,6.0,1
0,36447,109.0,5.4,5
0,19042,82.0,5.0,50
0,38884,109.0,7.0,53
0,47449,80.0,6.6,5
33500000,36259,92.0,3.6,17
0,41852,109.0,5.6,14
0,40926,88.0,3.0,3
0,9099,90.0,5.5,96
0,2021,110.0,5.1,10
12000000,61752,108.0,5.7,17
0,10988,107.0,5.4,74
0,11479,90.0,6.0,145
0,398959,97.0,5.0,1
0,287305,,4.0,1
0,339428,,0.0,0
0,12652,106.0,7.1,16
46000000,10684,117.0,6.2,240
80000000,954,110.0,6.7,2677
0,68445,85.0,7.7,6
0,18989,123.0,6.2,19
0,10801,86.0,5.3,7
0,54285,100.0,6.2,10
57000000,8840,103.0,6.4,553
0,278978,,0.0,0
0,124625,93.0,0.0,0
0,11107,100.0,5.4,46
0,16417,100.0,6.0,4
0,70934,92.0,0.0,0
0,10363,115.0,7.3,73
0,161070,94.0,5.3,3
38000000,10539,79.0,6.2,375
0,10543,97.0,6.1,157
0,18414,89.0,5.9,26
13000000,47502,91.0,4.8,4
14000000,11902,170.0,7.5,143
0,27098,130.0,6.1,23
0,25087,90.0,5.2,23
0,5801,125.0,7.9,63
0,896,117.0,8.2,40
0,3065,73.0,7.0,71
0,318177,100.0,0.0,0
80000000,2300,88.0,6.5,1335
9000000,8069,98.0,5.7,149
0,288173,90.0,8.0,1
0,187851,98.0,5.5,1
0,27768,25.0,7.5,8
0,221917,0.0,8.0,2
220000,8072,100.0,6.8,100
0,35797,128.0,6.8,21
0,88030,75.0,7.5,4
0,185191,110.0,0.0,0
0,83857,96.0,5.8,9
0,33245,110.0,6.2,9
0,124460,118.0,8.0,1
0,27281,107.0,4.7,37
0,105045,115.0,5.0,1
25000000,40001,105.0,5.5,26
0,29621,94.0,3.9,18
0,117730,0.0,6.5,2
0,20762,114.0,5.8,60
0,37144,94.0,5.1,7
0,48260,88.0,7.4,5
0,12656,99.0,5.5,29
0,38867,99.0,3.3,5
0,277270,0.0,0.0,0
0,25969,90.0,6.8,24
0,44103,138.0,6.7,15
275000,753,130.0,7.1,36
0,43634,86.0,5.3,11
30000000,9103,95.0,5.3,126
0,90214,102.0,7.1,9
0,29649,99.0,5.1,7
0,10990,107.0,6.2,73
0,8866,93.0,5.7,86
31000000,12233,74.0,6.5,372
0,23449,91.0,4.9,35
25530000,36355,95.0,5.3,85
0,37667,100.0,6.0,10
0,90148,103.0,4.4,11
9000000,922,121.0,7.2,397
35000000,11876,135.0,6.7,25
0,52633,91.0,6.6,27
0,62364,106.0,5.5,5
0,11687,107.0,7.1,433
45000000,9304,117.0,5.5,158
0,73183,112.0,10.0,1
0,131232,86.0,0.0,0
15000000,9100,101.0,6.3,388
0,20759,91.0,5.1,29
0,46063,103.0,5.6,9
0,365371,95.0,0.0,0
0,32513,95.0,7.0,21
0,40651,104.0,7.7,11
25000000,36915,132.0,5.0,17
4800000,40507,99.0,5.5,5
75000000,9802,136.0,6.9,1474
0,25697,91.0,5.5,6
4000000,21588,105.0,7.0,105
92000000,664,113.0,6.1,966
0,11867,98.0,3.9,117
0,47119,102.0,5.0,1
0,314352,92.0,0.0,0
0,9323,83.0,7.8,854
0,10280,92.0,5.5,125
18000000,10535,81.0,4.9,148
0,124613,102.0,0.0,0
0,532,30.0,7.5,223
0,26744,78.0,6.6,33
0,16299,94.0,4.2,22
25000000,10547,115.0,6.1,200
0,245268,103.0,0.0,0
1800000,935,95.0,8.0,1472
0,55613,100.0,7.8,4
0,215107,88.0,0.0,0
0,41007,92.0,7.2,7
0,35645,94.0,5.8,20
0,110465,113.0,7.0,5
0,255546,91.0,10.0,1
0,40751,100.0,7.1,73
0,275096,86.0,8.0,3
0,85778,105.0,0.0,0
0,11101,134.0,7.4,116
45000000,9826,100.0,4.7,138
50000000,9879,115.0,4.4,210
0,63564,102.0,5.7,15
0,22621,105.0,7.7,11
45000000,7095,113.0,5.9,340
0,26890,103.0,6.1,32
0,46732,107.0,6.1,4
0,124633,96.0,0.0,0
0,202425,80.0,6.5,2
0,196940,80.0,5.0,1
0,77771,85.0,7.3,10
0,181083,75.0,5.0,1
0,41225,121.0,5.5,24
0,188589,109.0,0.0,0
50,87190,90.0,6.3,5
4000000,627,93.0,7.8,2737
1000000,32872,113.0,3.9,4
75000000,602,145.0,6.7,3334
0,14553,116.0,6.6,99
55000000,9566,116.0,5.7,202
100000000,10545,91.0,6.8,1182
47000000,9894,96.0,5.7,603
27000000,11543,113.0,6.7,248
100000000,9268,115.0,5.6,553
0,52059,180.0,6.7,3
54000000,9327,95.0,5.4,717
0,123763,105.0,6.8,3
0,81949,82.0,7.2,6
0,42005,97.0,0.0,0
0,124306,90.0,8.0,1
0,183955,100.0,7.0,1
0,44535,102.0,5.1,2
0,44495,80.0,6.3,3
0,78285,0.0,0.0,0
80000000,11228,115.0,5.8,385
30000000,10779,110.0,6.7,413
5000000,26748,135.0,6.9,79
12000000,38223,100.0,5.7,47
32000000,9294,123.0,6.2,328
0,49963,86.0,6.6,8
3500000,11363,96.0,5.7,71
40000000,1645,149.0,7.0,522
0,31546,88.0,6.2,9
0,77056,94.0,6.5,4
23000000,36344,109.0,5.2,32
25000000,18550,98.0,5.2,49
20000000,11511,93.0,3.6,60
0,172198,106.0,6.0,1
30000000,34170,93.0,5.4,35
0,281085,0.0,6.0,2
0,109478,89.0,4.0,1
0,124645,102.0,7.0,2
0,12606,90.0,5.8,42
0,69895,82.0,6.0,1
0,35206,104.0,7.4,8
0,151489,123.0,6.5,2
0,4837,89.0,6.5,25
0,12632,139.0,6.3,4
0,9098,100.0,5.2,9
0,282919,,4.0,1
0,124614,91.0,6.5,6
0,18975,90.0,5.0,55
13000000,11962,78.0,5.0,87
26000000,2925,102.0,6.5,172
0,28628,99.0,7.2,10
80000000,3595,117.0,6.4,482
0,9308,86.0,5.4,51
0,92381,89.0,5.4,8
0,18555,102.0,6.3,30
50000000,12123,107.0,5.3,291
36000000,10830,98.0,6.9,892
6000000,3573,121.0,6.7,152
13000000,10546,84.0,5.2,119
0,18862,108.0,5.0,32
0,31417,90.0,7.5,130
15000000,9431,87.0,5.0,63
0,124619,87.0,7.0,1
0,297645,90.0,0.0,0
0,48144,99.0,7.0,2
0,46986,85.0,7.5,4
0,144982,98.0,5.0,1
6000000,47907,117.0,6.8,17
50000000,10061,97.0,5.6,381
0,36266,123.0,6.8,23
2962051,549,108.0,6.6,97
45000000,10478,135.0,5.9,152
200000,66634,109.0,6.0,1
0,116690,98.0,6.4,12
0,213917,104.0,6.0,2
0,145925,0.0,6.0,1
0,100914,113.0,5.0,1
6000000,238,175.0,8.5,6024
0,159,90.0,6.1,34
900000,11134,95.0,6.7,109
500000,88224,88.0,6.3,9
0,132641,89.0,0.0,0
1850000,42758,108.0,6.4,10
4500000,9303,108.0,6.9,203
17000000,23945,89.0,4.9,17
0,37820,109.0,6.1,7
18000000,22479,116.0,6.1,13
53000000,9054,94.0,4.7,48
0,241058,82.0,4.0,2
0,11985,118.0,7.3,16
0,10232,101.0,4.0,2
0,59569,91.0,6.3,10
0,410921,0.0,0.0,0
0,38955,104.0,5.8,12
0,110513,90.0,5.2,3
0,114089,104.0,7.7,3
60000000,11015,110.0,5.8,130
40000000,9306,96.0,4.6,148
0,12559,101.0,5.3,28
8000000,58770,94.0,6.6,18
0,124851,89.0,5.0,2
32000000,3587,110.0,5.4,46
25000000,10723,84.0,5.4,164
0,56077,96.0,6.8,4
0,19004,71.0,6.1,86
0,101230,0.0,5.0,1
0,253632,,0.0,0
5000000,10987,88.0,5.0,173
0,44705,134.0,7.0,22
0,20318,114.0,7.1,13
0,43596,88.0,6.3,8
0,79782,110.0,7.5,4
0,26933,115.0,7.4,18
3000000,27854,170.0,6.1,41
0,981,112.0,7.7,196
2540800,872,103.0,7.9,747
2723903,2769,113.0,6.9,133
0,13320,103.0,7.0,162
2500000,164,110.0,7.6,1082
2479000,426,128.0,8.0,1162
1000000,567,112.0,8.2,1531
325000,3078,105.0,7.7,283
2068000,13528,114.0,7.2,73
520000,28288,107.0,7.2,17
4000000,213,136.0,7.8,1062
3000000,284,125.0,8.1,498
2883848,239,122.0,8.0,835
4000000,4808,113.0,7.7,351
