budget,id,original_title,runtime,title,vote_average,vote_count
0,9089,Home for the Holidays,103,Home for the Holidays,6.3,39
0,11010,Il postino,108,The Postman,7.6,181
0,99040,Le confessionnal,100,The Confessional,6.5,2
45000000,11359,The Indian in the Cupboard,96,The Indian in the Cupboard,5.9,136
20000000,17182,Eye for an Eye,101,Eye for an Eye,5.8,65
0,2054,Mr. Holland's Opus,137,Mr. Holland's Opus,6.9,115
0,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192
0,19760,Two If by Sea,96,Two If by Sea,4.5,14
15000000,9536,Bio-Dome,88,Bio-Dome,4.4,110
0,11525,Lawnmower Man 2: Beyond Cyberspace,92,Lawnmower Man 2: Beyond Cyberspace,2.8,32
0,40628,Two Bits,85,Two Bits,5.4,11
0,4482,Gazon maudit,95,French Twist,6,43
3500000,10634,Friday,91,Friday,7,513
19000000,755,From Dusk Till Dawn,108,From Dusk Till Dawn,6.9,1644
50000000,11859,Fair Game,91,Fair Game,4.1,54
0,28387,Kicking and Screaming,96,Kicking and Screaming,7,36
0,48750,Les misérables,175,Les Miserables,6.6,8
0,20927,Bed of Roses,87,Bed of Roses,5.1,27
15000000,36929,Big Bully,90,Big Bully,3.9,16
20000000,9102,Screamers,108,Screamers,6.1,154
0,124626,Nico Icon,70,Nico Icon,7.3,3
0,27526,The Crossing Guard,111,The Crossing Guard,6.1,74
44000000,9623,The Juror,118,The Juror,5.5,91
0,46785,بادکنک سفید,85,The White Balloon,7.5,20
8000000,400,Things to Do in Denver When You're Dead,116,Things to Do in Denver When You're Dead,6.7,87
900000,880,Antonia,102,Antonia's Line,7.2,26
0,146599,Once Upon a Time... When We Were Colored,115,Once Upon a Time... When We Were Colored,4.5,2
0,188588,Last Summer in the Hamptons,108,Last Summer in the Hamptons,0,0
0,8447,Angels and Insects,118,Angels and Insects,6.3,17
38000000,10534,White Squall,129,White Squall,6.3,86
16000000,17414,Dunston Checks In,88,Dunston Checks In,5.1,59
0,13997,Black Sheep,87,Black Sheep,6,124
8169363,2086,Nick of Time,90,Nick of Time,6.1,190
0,61548,The Journey of August King,91,The Journey of August King,6.7,3
47000000,9095,Mary Reilly,104,Mary Reilly,5.7,77
14000000,12158,Vampire in Brooklyn,100,Vampire in Brooklyn,4.5,113
0,9283,Beautiful Girls,112,Beautiful Girls,6.6,103
50000000,9208,Broken Arrow,108,Broken Arrow,5.7,459
0,40154,A Midwinter's Tale,99,A Midwinter's Tale,7.5,6
3000000,406,La Haine,98,La Haine,7.9,695
0,45549,Shopping,105,Shopping,5.6,13
0,63076,Heidi Fleiss: Hollywood Madam,106,Heidi Fleiss: Hollywood Madam,6.8,4
0,11062,City Hall,111,City Hall,6,67
7000000,13685,Bottle Rocket,91,Bottle Rocket,6.8,285
0,47475,Mr. Wrong,96,Mr. Wrong,3.3,16
18000000,2045,Unforgettable,106,Unforgettable,5.3,22
12000000,9614,Happy Gilmore,92,Happy Gilmore,6.5,767
24000000,688,The Bridges of Madison County,135,The Bridges of Madison County,7.3,397
0,11907,Keiner liebt mich,104,Nobody Loves Me,5.1,5
0,10874,Muppet Treasure Island,100,Muppet Treasure Island,6.5,93
0,89333,Catwalk,95,Catwalk,7,2
0,96357,Headless Body in Topless Bar,110,Headless Body in Topless Bar,0,0
72000000,197,Braveheart,177,Braveheart,7.7,3404
1300000,103,Taxi Driver,114,Taxi Driver,8.1,2632
7500000,33542,紅番區,91,Rumble in the Bronx,6.5,245
35000000,43566,Before and After,108,Before and After,5.8,37
0,71754,Margaret's Museum,114,Margaret's Museum,7.5,2
13365000,43612,Le Bonheur est dans le pré,106,Happiness Is in the Field,7,23
0,51352,Anne Frank Remembered,117,Anne Frank Remembered,7.3,4
0,16934,The Young Poisoner's Handbook,99,The Young Poisoner's Handbook,6.9,19
0,10324,If Lucy Fell,92,If Lucy Fell,5.4,11
25000000,78406,Steal Big Steal Little,113,Steal Big Steal Little,5.1,7
0,55731,Race the Sun,100,Race the Sun,5.2,21
0,32119,The Boys of St. Vincent,90,The Boys of St. Vincent,7,7
40000000,11066,Boomerang,117,Boomerang,5.4,139
0,11104,重慶森林,102,Chungking Express,7.9,249
0,37975,L'uomo delle stelle,113,The Star Maker,6.8,29
7000000,2074,Flirting with Disaster,92,Flirting with Disaster,6.3,66
17000000,27793,The NeverEnding Story III,95,The Neverending Story III: Escape from Fantasia,4.4,105
0,44284,صمت القصور,116,The Silences of the Palace,4.3,3
0,290157,Jupiter's Wife,87,Jupiter's Wife,0,0
0,110972,Pie in the Sky,95,Pie in the Sky,7,2
0,32622,Angela,99,Angela,5.6,9
0,73067,Frankie Starlight,101,Frankie Starlight,5.4,4
50000000,11863,Jade,95,Jade,5.1,45
0,55475,Nueba Yol,102,Nueba Yol,5.5,1
0,124636,Sonic Outlaws,87,Sonic Outlaws,0,0
0,9101,Down Periscope,92,Down Periscope,5.6,110
0,123360,From the Journals of Jean Seberg,97,From the Journals of Jean Seberg,6.5,2
0,5757,Man of the Year,86,Man of the Year,3.8,2
0,39428,The Neon Bible,91,The Neon Bible,7.2,5
0,124639,Target,122,Target,0,0
60000000,9302,Up Close & Personal,119,Up Close & Personal,5.9,51
31000000,11000,The Birdcage,117,The Birdcage,6.7,303
0,249882,Gospa,125,Virgin Mary,7,2
0,16388,The Brothers McMullen,98,The Brothers McMullen,6.3,23
19000000,9737,Bad Boys,118,Bad Boys,6.5,1729
0,30765,The Amazing Panda Adventure,81,The Amazing Panda Adventure,5,31
0,10474,The Basketball Diaries,102,The Basketball Diaries,7.2,472
4000000,22279,An Awfully Big Adventure,113,An Awfully Big Adventure,6,11
0,30157,Amateur,105,Amateur,6.5,21
52000000,568,Apollo 13,140,Apollo 13,7.3,1637
28000000,11780,Rob Roy,139,Rob Roy,6.5,151
0,34996,The Addiction,82,The Addiction,6.4,46
100000000,414,Batman Forever,121,Batman Forever,5.2,1529
0,649,Belle de jour,101,Belle de Jour,7.3,163
0,1873,Beyond Rangoon,100,Beyond Rangoon,6.4,21
2000000,5894,Blue in the Face,83,Blue in the Face,6.8,28
11000000,1775,Canadian Bacon,91,Canadian Bacon,5.9,57
50000000,8839,Casper,100,Casper,6,1045
25000000,20649,Clockers,128,Clockers,6.8,69
50000000,10329,Congo,109,Congo,5,214
53000000,8963,Crimson Tide,116,Crimson Tide,7,508
0,26564,Crumb,119,Crumb,7.6,71
7000000,8068,Desperado,104,Desperado,6.8,898
27000000,8512,Devil in a Blue Dress,102,Devil in a Blue Dress,6.3,88
90000000,1572,Die Hard: With a Vengeance,128,Die Hard: With a Vengeance,6.9,2094
0,13552,The Doom Generation,80,The Doom Generation,5.6,57
0,259209,Feast of July,116,Feast of July,0,0
55000000,6520,First Knight,134,First Knight,5.9,319
0,9073,Free Willy 2 - The Adventure Home,95,Free Willy 2 - The Adventure Home,5.5,130
20000000,10428,Hackers,107,Hackers,6.2,406
0,17447,Jeffrey,92,Jeffrey,6.5,19
25000000,9886,Johnny Mnemonic,97,Johnny Mnemonic,5.5,380
90000000,9482,Judge Dredd,96,Judge Dredd,5.4,643
0,19326,Jury Duty,88,Jury Duty,4,34
1500000,9344,Kids,91,Kids,6.8,280
500000,9071,Living in Oblivion,89,Living in Oblivion,7.2,64
0,8973,Lord of Illusions,119,Lord of Illusions,5.9,87
0,15730,Love & Human Remains,100,Love & Human Remains,7,7
0,47608,Mad Love,95,Mad Love,5.5,27
6000000,2293,Mallrats,94,Mallrats,6.8,400
15000000,9070,Mighty Morphin Power Rangers: The Movie,92,Mighty Morphin Power Rangers: The Movie,5.2,153
0,68274,Moonlight and Valentino,100,Moonlight and Valentino,5.6,10
2,48787,Mute Witness,95,Mute Witness,6.4,36
0,34574,Nadja,93,Nadja,5.9,12
22000000,1642,The Net,114,The Net,5.6,359
0,11472,Nine Months,103,Nine Months,5.5,171
150000,36196,Party Girl,94,Party Girl,5.8,14
8,11980,The Prophecy,98,The Prophecy,6.4,139
0,58372,Reckless,91,Reckless,10,1
0,32646,Safe,119,Safe,7.2,62
50000000,10533,The Scarlet Letter,135,The Scarlet Letter,5.5,111
0,56088,The Show,93,The Show,5.3,2
45000000,10802,Showgirls,128,Showgirls,4.9,261
7000000,10149,Smoke,112,Smoke,7.2,115
0,18402,Something to Talk About,106,Something to Talk About,5.7,60
35000000,9348,Species,108,Species,5.5,457
0,139408,The Stars Fell on Henrietta,109,The Stars Fell on Henrietta,6.6,6
42000000,281,Strange Days,145,Strange Days,6.8,334
0,5967,Les parapluies de Cherbourg,91,The Umbrellas of Cherbourg,7.6,119
14000000,79593,The Tie That Binds,99,The Tie That Binds,4.6,9
0,47939,Three Wishes,115,Three Wishes,6.1,18
0,36834,Total Eclipse,111,Total Eclipse,6.5,112
0,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",105,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117
60000000,3512,Under Siege 2: Dark Territory,100,Under Siege 2: Dark Territory,5.6,217
0,52856,Unstrung Heroes,93,Unstrung Heroes,6.4,9
0,77350,Unzipped,73,Unzipped,6,6
20000000,9560,A Walk in the Clouds,103,A Walk in the Clouds,6.5,168
175000000,9804,Waterworld,135,Waterworld,5.9,1017
8000000,31611,White Man's Burden,89,White Man's Burden,5.1,25
30000000,65796,Wild Bill,98,Wild Bill,5.9,27
0,49805,The Browning Version,97,The Browning Version,6,11
0,26258,Bushwhacked,90,Bushwhacked,4.9,29
2800000,50797,Утомлённые солнцем,135,Burnt by the Sun,6.7,35
0,19155,Before the Rain,113,Before the Rain,7.7,45
2500000,76,Before Sunrise,105,Before Sunrise,7.7,984
10000000,11017,Billy Madison,89,Billy Madison,6.2,464
0,37141,The Babysitter,90,The Babysitter,4.7,27
21000000,9382,Boys on the Side,115,Boys on the Side,6.3,48
0,6715,The Cure,97,The Cure,7.2,58
0,18256,Castle Freak,95,Castle Freak,5.8,40
0,22625,Circle of Friends,103,Circle of Friends,6.5,30
27000,2292,Clerks,92,Clerks,7.4,769
25000000,1909,Don Juan DeMarco,97,Don Juan DeMarco,6.3,184
55000000,8984,Disclosure,123,Disclosure,5.9,217
0,61813,Dream Man,0,Dream Man,2.5,1
45000000,4954,Drop Zone,101,Drop Zone,5.1,91
0,62488,Destiny Turns on the Radio,0,Destiny Turns on the Radio,5.3,9
0,10531,Death and the Maiden,103,Death and the Maiden,7.1,92
0,11929,Dolores Claiborne,132,Dolores Claiborne,7.1,183
16000000,8467,Dumb and Dumber,107,Dumb and Dumber,6.5,1894
0,10451,飲食男女,123,Eat Drink Man Woman,7.5,76
0,20156,Exotica,103,Exotica,6.5,64
0,18395,Exit to Eden,113,Exit to Eden,4.3,28
18000000,522,Ed Wood,127,Ed Wood,7.3,639
0,397,French Kiss,111,French Kiss,6.2,179
0,10525,Forget Paris,101,Forget Paris,6.1,38
0,27985,Far from Home: The Adventures of Yellow Dog,87,Far from Home: The Adventures of Yellow Dog,5.6,27
0,15789,A Goofy Movie,78,A Goofy Movie,6.7,404
15000000,27303,Hideaway,103,Hideaway,5,24
0,21183,Fluke,96,Fluke,6.6,48
0,10954,Farinelli,111,Farinelli,5.9,20
0,47867,Gordy,90,Gordy,3,4
0,43475,Gumby: The Movie,77,Gumby: The Movie,5,2
0,72031,The Glass Shield,109,The Glass Shield,5.4,9
700000,14275,Hoop Dreams,171,Hoop Dreams,7.7,91
5000000,1024,Heavenly Creatures,99,Heavenly Creatures,6.9,299
10500000,17207,Houseguest,113,Houseguest,6,17
120,13701,Immortal Beloved,121,Immortal Beloved,6.9,90
0,14819,Heavyweights,100,Heavyweights,6,97
0,32631,The Hunted,106,The Hunted,6,25
25000000,11777,I.Q.,100,I.Q.,5.9,112
60000000,628,Interview with the Vampire,123,Interview with the Vampire,7.2,1558
14000000,87729,Jefferson in Paris,139,Jefferson in Paris,5.2,10
0,18713,The Jerky Boys,82,The Jerky Boys,4.8,10
60000000,6280,Junior,109,Junior,4.7,381
0,9061,Just Cause,102,Just Cause,6,124
0,37108,A Kid in King Arthur's Court,89,A Kid in King Arthur's Court,4.3,40
40000000,6071,Kiss of Death,101,Kiss of Death,5.7,83
11000000,11,Star Wars,121,Star Wars,8.1,6778
18000000,9587,Little Women,115,Little Women,7,222
17000000,19101,A Little Princess,97,A Little Princess,7.4,207
0,49980,Ladybird Ladybird,101,Ladybird Ladybird,7.4,14
10000000,17961,L'Enfer,100,L'Enfer,6.6,22
2000000,18183,Como agua para chocolate,105,Like Water for Chocolate,6.6,70
30000000,4476,Legends of the Fall,133,Legends of the Fall,7.2,636
0,11008,Major Payne,95,Major Payne,6.1,164
0,47504,Little Odessa,98,Little Odessa,6.4,31
0,32325,Mi Vida Loca,92,Mi Vida Loca,5.7,9
60000000,43742,Love Affair,108,Love Affair,4.3,11
17000000,28313,Losing Isaiah,106,Losing Isaiah,6.4,28
0,11318,The Madness of King George,107,The Madness of King George,6.7,67
45000000,3036,Frankenstein,123,Mary Shelley's Frankenstein,6.1,272
0,40490,Man of the House,96,Man of the House,5.1,40
15000000,24070,Mixed Nuts,97,Mixed Nuts,5.2,37
0,8986,Milk Money,108,Milk Money,5.6,49
0,10510,Miracle on 34th Street,114,Miracle on 34th Street,6.4,199
6,17402,Miami Rhapsody,95,Miami Rhapsody,5.6,7
5500000,38722,My Family,128,My Family,7,11
0,8438,Murder in the First,122,Murder in the First,6.9,140
0,11593,Nobody's Fool,110,Nobody's Fool,7,56
31000000,1945,Nell,112,Nell,6.1,128
0,39310,New Jersey Drive,98,New Jersey Drive,6.9,7
0,109560,New York Cop,93,New York Cop,0,0
4800000,56428,Beyond Bedlam,89,Beyond Bedlam,4,4
0,63105,Nemesis 2 - Nebula,83,Nemesis 2 - Nebula,4.6,10
0,131957,Nina Takes a Lover,100,Nina Takes a Lover,7.4,4
34000000,241,Natural Born Killers,119,Natural Born Killers,6.9,927
0,9058,Only You,115,Only You,6.4,92
0,527,Once Were Warriors,99,Once Were Warriors,7.6,106
0,18220,Poison Ivy II: Lily,106,Poison Ivy II: Lily,4.6,32
50000000,6950,Outbreak,127,Outbreak,6.4,522
16000000,101,Léon,110,Leon: The Professional,8.2,4293
11000000,63020,The Perez Family,113,The Perez Family,6.6,9
0,2307,A Pyromaniac's Love Story,94,A Pyromaniac's Love Story,7,2
8000000,680,Pulp Fiction,154,Pulp Fiction,8.3,8670
0,41478,Panther,124,Panther,6.4,6
400000,25296,Pushing Hands,105,Pushing Hands,6.1,9
0,40156,Priest,98,Priest,6.4,32
0,11450,Quiz Show,133,Quiz Show,7.1,262
0,30304,Picture Bride,94,Picture Bride,7.4,5
0,10452,La Reine Margot,162,Queen Margot,7,67
32000000,12106,The Quick and the Dead,107,The Quick and the Dead,6.2,431
22000000,161495,Roommates,108,Roommates,6.4,7
15000000,3586,Prêt-à-Porter,133,Prêt-à-Porter,5.3,33
0,110,Trois couleurs : Rouge,99,Three Colors: Red,7.8,246
0,108,Trois couleurs : Bleu,98,Three Colors: Blue,7.7,311
0,109,Trois couleurs : Blanc,91,Three Colors: White,7.3,218
0,159185,Pao Da Shuang Deng,111,"Red Firecracker, Green Firecracker",7,2
0,36357,Rent-a-Kid,85,Rent-a-Kid,5.1,15
0,92769,Relative Fear,90,Relative Fear,4.7,3
0,28033,Stuart Saves His Family,95,Stuart Saves His Family,5,6
35000000,22586,The Swan Princess,89,The Swan Princess,6.5,251
0,14334,The Secret of Roan Inish,97,The Secret of Roan Inish,6.1,15
45000000,2636,The Specialist,110,The Specialist,5.5,317
55000000,2164,Stargate,121,Stargate,6.8,942
22000000,11395,The Santa Clause,97,The Santa Clause,6.3,501
25000000,278,The Shawshank Redemption,142,The Shawshank Redemption,8.5,8358
0,9905,Shallow Grave,92,Shallow Grave,7,247
0,87078,Suture,96,Suture,6,7
0,12527,Fresa y chocolate,108,Strawberry and Chocolate,7.1,16
0,20306,Swimming with Sharks,101,Swimming with Sharks,6.7,104
32,36614,The Sum of Us,100,The Sum of Us,6,21
0,27993,Senior Trip,91,Senior Trip,5.7,23
0,31439,活着,125,To Live,7.7,62
25000000,9067,Tank Girl,98,Tank Girl,5.5,140
0,9059,Tales from the Crypt: Demon Knight,92,Tales from the Crypt: Demon Knight,6.7,96
38000000,193,Star Trek: Generations,118,Star Trek: Generations,6.4,461
6000000,25066,Tales from the Hood,98,Tales from the Hood,5.4,33
0,46797,Tom & Viv,115,Tom & Viv,5.8,8
0,12122,Village of the Damned,99,Village of the Damned,5.6,165
0,11381,Tommy Boy,97,Tommy Boy,6.8,321
0,32636,Vanya on 42nd Street,119,Vanya on 42nd Street,6.1,15
6500000,36141,The Underneath,99,The Underneath,5.6,15
0,95963,The Walking Dead,88,The Walking Dead,6.6,4
11000000,1587,What's Eating Gilbert Grape,118,What's Eating Gilbert Grape,7.5,943
30000000,9271,Virtuosity,106,Virtuosity,5.4,163
17000000,2064,While You Were Sleeping,103,While You Were Sleeping,6.5,340
0,19855,The War,126,The War,6.3,39
0,60855,Double Happiness,87,Double Happiness,5.5,2
3000000,236,Muriel's Wedding,106,Muriel's Wedding,6.9,104
0,48287,The Baby-Sitters Club,94,The Baby-Sitters Club,5.3,23
15000000,3049,Ace Ventura: Pet Detective,86,Ace Ventura: Pet Detective,6.4,1684
0,2759,"The Adventures of Priscilla, Queen of the Desert",104,"The Adventures of Priscilla, Queen of the Desert",7.2,174
0,12635,Backbeat,100,Backbeat,6.2,37
5000000,10497,Bitter Moon,139,Bitter Moon,7,115
0,11382,Bullets Over Broadway,98,Bullets Over Broadway,7,130
62000000,9331,Clear and Present Danger,141,Clear and Present Danger,6.4,390
45000000,10731,The Client,119,The Client,6.4,287
0,10464,"Corrina, Corrina",115,"Corrina, Corrina",6.4,83
0,34152,Crooklyn,115,Crooklyn,6.7,31
15000000,9495,The Crow,102,The Crow,7.3,980
0,29973,Cobb,128,Cobb,6.1,29
46000000,888,The Flintstones,91,The Flintstones,5,559
55000000,13,Forrest Gump,142,Forrest Gump,8.2,8147
6000000,712,Four Weddings and a Funeral,117,Four Weddings and a Funeral,6.6,654
0,16295,Higher Learning,127,Higher Learning,6.4,49
0,48992,I Like It Like That,104,I Like It Like That,6.3,4
45000000,10879,I Love Trouble,123,I Love Trouble,5.3,41
0,10660,It Could Happen to You,101,It Could Happen to You,6.1,154
0,10714,The Jungle Book,111,The Jungle Book,5.9,107
0,41647,Die Macht der Bilder: Leni Riefenstahl,180,"The Wonderful, Horrible Life of Leni Riefenstahl",7.3,5
45000000,8587,The Lion King,89,The Lion King,8,5520
35000000,1689,Little Buddha,140,Little Buddha,6,76
14000000,11596,New Nightmare,112,New Nightmare,6.4,297
23000000,854,The Mask,101,The Mask,6.6,2550
0,9359,Maverick,127,Maverick,6.6,490
0,23333,Mrs. Parker and the Vicious Circle,125,Mrs. Parker and the Vicious Circle,6.3,20
30000000,36593,The Naked Gun 33⅓: The Final Insult,83,The Naked Gun 33⅓: The Final Insult,6.4,535
6000000,12280,The Paper,112,The Paper,6.1,40
11500000,2788,Reality Bites,99,Reality Bites,6.5,180
8000000,10427,Red Rock West,98,Red Rock West,6.4,71
40000000,11011,Ri¢hie Ri¢h,95,Ri¢hie Ri¢h,5.4,426
0,49803,Safe Passage,98,Safe Passage,4.9,7
45000000,8987,The River Wild,111,The River Wild,6.1,214
30000000,1637,Speed,116,Speed,6.8,1814
0,15128,Speechless,99,Speechless,5.5,24
27000000,8831,Timecop,99,Timecop,5.5,288
115000000,36955,True Lies,141,True Lies,6.8,1138
0,10449,When a Man Loves a Woman,126,When a Man Loves a Woman,6,71
0,10395,Wolf,125,Wolf,6,221
63000000,12160,Wyatt Earp,191,Wyatt Earp,6.5,203
0,40480,Bad Company,108,Bad Company,4.9,12
0,52038,A Man of No Importance,99,A Man of No Importance,6.5,2
0,29444,S.F.W.,96,S.F.W.,6.1,22
10000000,26352,A Low Down Dirty Shame,100,A Low Down Dirty Shame,6,31
0,39953,"Boys Life: Three Stories of Love, Lust, and Liberation",91,"Boys Life: Three Stories of Love, Lust, and Liberation",2,1
0,41580,Le colonel Chabert,110,Colonel Chabert,5.9,9
45000,315,"Faster, Pussycat! Kill! Kill!",83,"Faster, Pussycat! Kill! Kill!",6.5,59
7000000,22067,Jason's Lyric,119,Jason's Lyric,5.9,9
0,18242,The Secret Adventures of Tom Thumb,61,The Secret Adventures of Tom Thumb,7.1,8
35000000,11667,Street Fighter,102,Street Fighter,4.1,330
0,32502,Coldblooded,92,Coldblooded,6.7,13
0,267188,Desert Winds,97,Desert Winds,0,0
0,28732,Fall Time,88,Fall Time,6.3,6
0,75555,The Fear,98,The Fear,3.4,7
0,42981,Frank and Ollie,89,Frank and Ollie,7.5,4
0,278939,Girl in the Cadillac,89,Girl in the Cadillac,10,1
0,291731,Homage,97,Homage,0,0
0,226229,Mirage,92,Mirage,4,1
0,203119,Open Season,97,Open Season,0,0
0,172923,Dos Crímenes,0,Dos Crímenes,5,1
0,316098,Brother Minister: The Assassination of Malcolm X,115,Brother Minister: The Assassination of Malcolm X,4,1
26000000,8011,Highlander III: The Sorcerer,99,Highlander: The Final Dimension,4.5,110
0,171857,Federal Hill,97,Federal Hill,5,2
8000000,2654,In the Mouth of Madness,95,In the Mouth of Madness,7.1,307
0,18069,8 Seconds,105,8 Seconds,7.2,22
0,19092,Above the Rim,96,Above the Rim,6.7,40
0,2758,Addams Family Values,94,Addams Family Values,6.5,537
0,38129,Martin Lawrence: You So Crazy,84,Martin Lawrence: You So Crazy,4.5,4
34000000,10436,The Age of Innocence,139,The Age of Innocence,7,172
0,13595,Airheads,92,Airheads,5.8,222
17080000,46094,The Air Up There,107,The Air Up There,5.1,42
0,9409,Another Stakeout,105,Another Stakeout,4.9,58
0,11853,Bad Girls,99,Bad Girls,4.6,61
3200000,16771,Barcelona,100,Barcelona,6.6,20
40000000,46924,Being Human,122,Being Human,5,15
0,11041,The Beverly Hillbillies,93,The Beverly Hillbillies,5,86
50000000,306,Beverly Hills Cop III,104,Beverly Hills Cop III,5.5,445
0,14522,Black Beauty,88,Black Beauty,6.6,68
0,26203,Blink,106,Blink,6.3,45
0,178,Blown Away,121,Blown Away,6,126
0,19819,Blue Chips,108,Blue Chips,5.7,41
0,57834,Blue Sky,101,Blue Sky,6.1,28
13000000,4722,Body Snatchers,87,Body Snatchers,5.8,102
0,18215,Boxing Helena,107,Boxing Helena,4.5,59
22000000,1607,A Bronx Tale,121,A Bronx Tale,7.4,447
0,26391,Cabin Boy,80,Cabin Boy,4.9,28
13000000,117553,Calendar Girl,90,Calendar Girl,3.7,10
30000000,6075,Carlito's Way,144,Carlito's Way,7.7,805
0,11310,City Slickers II: The Legend of Curly's Gold,116,City Slickers II: The Legend of Curly's Gold,4.9,103
0,18658,Clean Slate,107,Clean Slate,5.7,25
70000000,9350,Cliffhanger,112,Cliffhanger,6.1,600
0,9612,Coneheads,88,Coneheads,4.8,228
40000000,2124,Color of Night,121,Color of Night,5.4,117
0,26261,Cops & Robbersons,93,Cops & Robbersons,5,36
0,19176,The Cowboy Way,102,The Cowboy Way,5.1,38
0,49299,Dangerous Game,108,Dangerous Game,5.4,9
0,11566,Dave,110,Dave,6.3,205
6900000,9571,Dazed and Confused,102,Dazed and Confused,7.4,588
57000000,9739,Demolition Man,115,Demolition Man,6.4,1018
0,24257,The Endless Summer 2,109,The Endless Summer 2,7.1,12
8000000,34444,Even Cowgirls Get the Blues,96,Even Cowgirls Get the Blues,4.2,29
0,26141,Fatal Instinct,91,Fatal Instinct,5.4,37
0,10997,霸王别姬,171,Farewell My Concubine,7.8,98
0,50463,The Favor,97,The Favor,3.3,6
0,10443,Fearless,122,Fearless,6.8,80
0,20239,Fear of a Black Hat,88,Fear of a Black Hat,5.8,11
0,16297,With Honors,103,With Honors,6.1,54
0,18551,Flesh and Bone,126,Flesh and Bone,6.2,22
0,25440,Widows' Peak,101,Widows' Peak,4.3,3
30000000,9024,For Love or Money,94,For Love or Money,5.7,77
42000000,37233,The Firm,154,The Firm,6.6,513
20000000,1634,Free Willy,112,Free Willy,6,429
0,13815,Fresh,114,Fresh,7.6,56
44000000,5503,The Fugitive,130,The Fugitive,7.2,1240
35000000,35588,Geronimo: An American Legend,115,Geronimo: An American Legend,5.9,44
0,2087,The Getaway,115,The Getaway,5.4,81
30000000,41579,Getting Even with Dad,109,Getting Even with Dad,4.5,43
0,18620,Go Fish,83,Go Fish,3.9,5
0,41006,A Good Man in Africa,94,A Good Man in Africa,5.2,11
